subject,body,label
Urgent: Verify Your Account Now!,"Dear Cheryl,
We’re investigating a login attempt from an unknown device. Secure your account: http://verify.munoz-scott.com/7894
Act now!
Conway-Choi Team",Phishing
Your Payment Failed – Update Billing Info,"Hi Karen,
Your Amazon account password has expired. Reset it here: http://verify.rosales-hicks.com/8204
This is urgent!
Thanks,
Glass, Rodriguez and Stevens Security",Phishing
Password Reset Required Immediately,"Hi David,
Your Amazon account password has expired. Reset it here: http://claim.phillips.com/6788
This is urgent!
Thanks,
Flores LLC Security",Phishing
Weekly Newsletter – 2025-02-04,"Hi William,
Here’s your weekly update for 2025-02-04. Stay informed with Farmer Ltd news!
Thanks,
Farmer Ltd Newsletter Team",Legitimate
Your Subscription Renewal,"Dear James,
Your Netflix subscription renews on 2025-02-20. No action needed – you’re all set!
Best,
Alexander-Cummings Team",Legitimate
Your Subscription Renewal,"Welcome Christopher!
We’re excited to have you with Harding-Nelson. Explore your account here: http://claim.simon.org/5165
Cheers,
Harding-Nelson Onboarding",Legitimate
Weekly Newsletter – 2025-02-13,"Hi Michael,
Just a reminder about our team meeting tomorrow at 12:47:14. Please prepare your updates.
Thanks,
Alicia Martinez",Legitimate
Weekly Newsletter – 2025-02-23,"Hello George,
Here’s the latest on our project. Next milestone is due 2025-02-23. Let me know if you have questions!
Regards,
Sheila Edwards",Legitimate
Your Payment Failed – Update Billing Info,"Dear Amy,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.schultz.com/2556
Act now!
Owen-Cruz Team",Phishing
Your Subscription Renewal,"Hello Eric,
Here’s the latest on our project. Next milestone is due 2025-02-01. Let me know if you have questions!
Regards,
Matthew Dunn",Legitimate
Weekly Newsletter – 2025-02-11,"Hello Kylie,
Here’s the latest on our project. Next milestone is due 2025-02-11. Let me know if you have questions!
Regards,
Natalie Miller",Legitimate
"You’ve Won $5,000 – Claim It Here!","Congratulations Kayla!
You’ve won a $4717 gift card! Claim it now: http://login.murray.com/4009
Hurry, offer expires soon!
Best,
Bell-Flores Rewards Team",Phishing
Password Reset Required Immediately,"Hi Ashley,
Your PayPal account password has expired. Reset it here: http://verify.mccormick.com/6715
This is urgent!
Thanks,
Chaney, Clay and Johnson Security",Phishing
Team Meeting Tomorrow,"Welcome Kimberly!
We’re excited to have you with Hayes, Reed and Perez. Explore your account here: http://verify.henderson.info/2101
Cheers,
Hayes, Reed and Perez Onboarding",Legitimate
Your Subscription Renewal,"Dear Matthew,
Your Amazon subscription renews on 2025-02-19. No action needed – you’re all set!
Best,
Martin Group Team",Legitimate
Password Reset Required Immediately,"Hello Eric,
Your recent payment of $2757 failed. Update your details: http://claim.nichols-austin.biz/8868
Avoid service disruption!
Sincerely,
Ibarra PLC Billing",Phishing
Urgent: Verify Your Account Now!,"Hello Alex,
Your recent payment of $4870 failed. Update your details: http://claim.wright.com/6493
Avoid service disruption!
Sincerely,
Mendez-Jones Billing",Phishing
Welcome to Higgins Ltd!,"Dear Michael,
Your Netflix subscription renews on 2025-02-01. No action needed – you’re all set!
Best,
Higgins Ltd Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear Steven,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.hunter.com/9769
Act now!
Ramirez-Rice Team",Phishing
Password Reset Required Immediately,"Dear Andrea,
We detected unusual activity on your account. Click here to verify: http://secure.franklin-schaefer.com/2920
Failure to act within 24 hours will suspend your account.
Regards,
Moore PLC Support",Phishing
Urgent: Verify Your Account Now!,"Dear Mark,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.paul-morgan.com/7090
Act now!
Simmons, Smith and Moore Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hi James,
Your Google account password has expired. Reset it here: http://claim.smith-martinez.net/4713
This is urgent!
Thanks,
Simmons-Silva Security",Phishing
"You’ve Won $5,000 – Claim It Here!","Dear Colin,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.johnston.com/8899
Act now!
Brown Group Team",Phishing
Security Alert: Suspicious Login Detected,"Congratulations Stephanie!
You’ve won a $145 gift card! Claim it now: http://secure.smith.org/2414
Hurry, offer expires soon!
Best,
Torres-Bailey Rewards Team",Phishing
Your Subscription Renewal,"Dear Paige,
Your Bank of America subscription renews on 2025-02-05. No action needed – you’re all set!
Best,
Stark-Patel Team",Legitimate
Welcome to Hays-Adkins!,"Dear Tommy,
Your Google subscription renews on 2025-02-22. No action needed – you’re all set!
Best,
Hays-Adkins Team",Legitimate
Urgent: Verify Your Account Now!,"Hello Steven,
Your recent payment of $1663 failed. Update your details: http://login.aguirre.org/9928
Avoid service disruption!
Sincerely,
Garcia, Taylor and Oconnor Billing",Phishing
Urgent: Verify Your Account Now!,"Dear Richard,
We detected unusual activity on your account. Click here to verify: http://login.hernandez-calderon.com/1548
Failure to act within 24 hours will suspend your account.
Regards,
Flores, Stark and Spencer Support",Phishing
Weekly Newsletter – 2025-02-11,"Dear Cynthia,
Your Google subscription renews on 2025-02-11. No action needed – you’re all set!
Best,
Davis Ltd Team",Legitimate
Weekly Newsletter – 2025-02-20,"Dear Dorothy,
Your Netflix subscription renews on 2025-02-20. No action needed – you’re all set!
Best,
Cook Group Team",Legitimate
Urgent: Verify Your Account Now!,"Congratulations Anna!
You’ve won a $402 gift card! Claim it now: http://login.marshall.com/6794
Hurry, offer expires soon!
Best,
Powell and Sons Rewards Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hi Robin,
Your Bank of America account password has expired. Reset it here: http://login.schroeder.com/6570
This is urgent!
Thanks,
Schroeder-Davis Security",Phishing
Password Reset Required Immediately,"Hi Allison,
Your Netflix account password has expired. Reset it here: http://secure.ramirez.com/5522
This is urgent!
Thanks,
Dean, Lane and Rivera Security",Phishing
Security Alert: Suspicious Login Detected,"Dear Stephanie,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.davis.biz/3662
Act now!
Green and Sons Team",Phishing
Project Update: Next Steps,"Welcome Stephanie!
We’re excited to have you with Tanner-Jenkins. Explore your account here: http://login.dalton.info/4129
Cheers,
Tanner-Jenkins Onboarding",Legitimate
Password Reset Required Immediately,"Hi James,
Your Netflix account password has expired. Reset it here: http://verify.pace.biz/4238
This is urgent!
Thanks,
Harrell-Garcia Security",Phishing
Team Meeting Tomorrow,"Hi Justin,
Just a reminder about our team meeting tomorrow at 07:12:23. Please prepare your updates.
Thanks,
Brent Johnson",Legitimate
Your Payment Failed – Update Billing Info,"Hi Jill,
Your Amazon account password has expired. Reset it here: http://login.shelton.com/5897
This is urgent!
Thanks,
West LLC Security",Phishing
Password Reset Required Immediately,"Dear Gary,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.mendez.biz/3845
Act now!
Mueller, Mills and Vaughn Team",Phishing
Urgent: Verify Your Account Now!,"Dear Francis,
We detected unusual activity on your account. Click here to verify: http://login.smith.org/2787
Failure to act within 24 hours will suspend your account.
Regards,
Vargas, Ryan and Reyes Support",Phishing
Team Meeting Tomorrow,"Hello Victoria,
Here’s the latest on our project. Next milestone is due 2025-02-11. Let me know if you have questions!
Regards,
James Sanchez",Legitimate
Team Meeting Tomorrow,"Welcome Alisha!
We’re excited to have you with Rodriguez, Brown and Carlson. Explore your account here: http://login.barrera.com/2200
Cheers,
Rodriguez, Brown and Carlson Onboarding",Legitimate
Urgent: Verify Your Account Now!,"Dear Robert,
We detected unusual activity on your account. Click here to verify: http://secure.thomas.com/3105
Failure to act within 24 hours will suspend your account.
Regards,
Villegas, Pugh and Prince Support",Phishing
Your Payment Failed – Update Billing Info,"Congratulations Diana!
You’ve won a $4737 gift card! Claim it now: http://login.jones.org/5874
Hurry, offer expires soon!
Best,
Gonzalez-Miller Rewards Team",Phishing
Project Update: Next Steps,"Hi Jessica,
Here’s your weekly update for 2025-02-14. Stay informed with Love Inc news!
Thanks,
Love Inc Newsletter Team",Legitimate
Password Reset Required Immediately,"Congratulations Linda!
You’ve won a $1855 gift card! Claim it now: http://login.evans.org/2547
Hurry, offer expires soon!
Best,
Thomas, Hernandez and Solomon Rewards Team",Phishing
Welcome to Moore-Cross!,"Hi Brian,
Just a reminder about our team meeting tomorrow at 10:11:06. Please prepare your updates.
Thanks,
Patrick Small",Legitimate
Project Update: Next Steps,"Hi Barbara,
Here’s your weekly update for 2025-02-16. Stay informed with Smith, Wong and Smith news!
Thanks,
Smith, Wong and Smith Newsletter Team",Legitimate
Weekly Newsletter – 2025-02-12,"Dear David,
Your Google subscription renews on 2025-02-12. No action needed – you’re all set!
Best,
Haas Inc Team",Legitimate
Team Meeting Tomorrow,"Hello David,
Here’s the latest on our project. Next milestone is due 2025-02-16. Let me know if you have questions!
Regards,
Matthew Wood",Legitimate
Urgent: Verify Your Account Now!,"Dear Nicole,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.cohen.net/5229
Act now!
Graham-Kaufman Team",Phishing
Password Reset Required Immediately,"Congratulations Kimberly!
You’ve won a $4960 gift card! Claim it now: http://verify.jackson.info/5030
Hurry, offer expires soon!
Best,
Griffin Inc Rewards Team",Phishing
Security Alert: Suspicious Login Detected,"Dear Joe,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.patrick-thomas.info/6847
Act now!
Rodriguez, Sanchez and Woods Team",Phishing
Security Alert: Suspicious Login Detected,"Hi John,
Your Amazon account password has expired. Reset it here: http://login.phillips-cox.net/2969
This is urgent!
Thanks,
Henry-Morgan Security",Phishing
Urgent: Verify Your Account Now!,"Congratulations Anthony!
You’ve won a $2156 gift card! Claim it now: http://secure.chavez-powell.com/9198
Hurry, offer expires soon!
Best,
Walker, Shaw and Wells Rewards Team",Phishing
Weekly Newsletter – 2025-02-09,"Hi Angela,
Just a reminder about our team meeting tomorrow at 04:02:07. Please prepare your updates.
Thanks,
Ronnie Jackson",Legitimate
Project Update: Next Steps,"Hi Robert,
Here’s your weekly update for 2025-02-21. Stay informed with Mccarthy, Holmes and Brady news!
Thanks,
Mccarthy, Holmes and Brady Newsletter Team",Legitimate
Weekly Newsletter – 2025-02-12,"Welcome Richard!
We’re excited to have you with West-Rivera. Explore your account here: http://login.hampton-sanchez.info/9762
Cheers,
West-Rivera Onboarding",Legitimate
Password Reset Required Immediately,"Hi Brandy,
Your Amazon account password has expired. Reset it here: http://secure.garcia.com/6040
This is urgent!
Thanks,
Kim and Sons Security",Phishing
Your Payment Failed – Update Billing Info,"Dear Michael,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.alexander.net/2385
Act now!
Garrett PLC Team",Phishing
Security Alert: Suspicious Login Detected,"Dear Wesley,
We detected unusual activity on your account. Click here to verify: http://login.rodgers-mccoy.biz/8127
Failure to act within 24 hours will suspend your account.
Regards,
Stokes, Cooper and Thompson Support",Phishing
Welcome to Rice-Carroll!,"Welcome Dustin!
We’re excited to have you with Rice-Carroll. Explore your account here: http://verify.cox-sanchez.com/2306
Cheers,
Rice-Carroll Onboarding",Legitimate
"Welcome to Anderson, Garcia and Hancock!","Welcome Ashley!
We’re excited to have you with Anderson, Garcia and Hancock. Explore your account here: http://secure.woodward-cruz.info/5864
Cheers,
Anderson, Garcia and Hancock Onboarding",Legitimate
Weekly Newsletter – 2025-02-14,"Welcome David!
We’re excited to have you with Williams, Giles and Bartlett. Explore your account here: http://claim.zuniga.com/6904
Cheers,
Williams, Giles and Bartlett Onboarding",Legitimate
Security Alert: Suspicious Login Detected,"Hello Thomas,
Your recent payment of $71 failed. Update your details: http://secure.rivers-castro.com/7961
Avoid service disruption!
Sincerely,
White, Fernandez and Logan Billing",Phishing
Project Update: Next Steps,"Hi Luis,
Just a reminder about our team meeting tomorrow at 19:55:05. Please prepare your updates.
Thanks,
Julie Horn",Legitimate
Team Meeting Tomorrow,"Welcome Cynthia!
We’re excited to have you with Cohen, Rice and Horn. Explore your account here: http://claim.romero-hernandez.com/9304
Cheers,
Cohen, Rice and Horn Onboarding",Legitimate
Your Subscription Renewal,"Welcome Ricky!
We’re excited to have you with Young Inc. Explore your account here: http://verify.lee.biz/1232
Cheers,
Young Inc Onboarding",Legitimate
Project Update: Next Steps,"Dear Angela,
Your Amazon subscription renews on 2025-02-07. No action needed – you’re all set!
Best,
Roach, Alvarez and Duncan Team",Legitimate
Project Update: Next Steps,"Hi Jeffrey,
Here’s your weekly update for 2025-02-01. Stay informed with Christian Ltd news!
Thanks,
Christian Ltd Newsletter Team",Legitimate
Weekly Newsletter – 2025-02-22,"Dear Christine,
Your Amazon subscription renews on 2025-02-22. No action needed – you’re all set!
Best,
White-Blanchard Team",Legitimate
Password Reset Required Immediately,"Hello Michael,
Your recent payment of $493 failed. Update your details: http://verify.carter.com/1070
Avoid service disruption!
Sincerely,
Keller-Hoffman Billing",Phishing
Urgent: Verify Your Account Now!,"Dear Michelle,
We detected unusual activity on your account. Click here to verify: http://login.hudson.net/8160
Failure to act within 24 hours will suspend your account.
Regards,
Haley-Yates Support",Phishing
Security Alert: Suspicious Login Detected,"Hello Sarah,
Your recent payment of $2648 failed. Update your details: http://claim.avila.com/4235
Avoid service disruption!
Sincerely,
Reyes PLC Billing",Phishing
Your Subscription Renewal,"Welcome Tracy!
We’re excited to have you with Williams, Johnston and Johnson. Explore your account here: http://claim.ferguson-nguyen.com/6280
Cheers,
Williams, Johnston and Johnson Onboarding",Legitimate
Project Update: Next Steps,"Hi James,
Here’s your weekly update for 2025-02-09. Stay informed with Howell Ltd news!
Thanks,
Howell Ltd Newsletter Team",Legitimate
Your Payment Failed – Update Billing Info,"Hi Diane,
Your Bank of America account password has expired. Reset it here: http://login.hall.org/4952
This is urgent!
Thanks,
Santiago and Sons Security",Phishing
Your Subscription Renewal,"Dear Christopher,
Your PayPal subscription renews on 2025-02-10. No action needed – you’re all set!
Best,
Moore-Roberson Team",Legitimate
Welcome to Stokes Group!,"Dear Steven,
Your Netflix subscription renews on 2025-02-08. No action needed – you’re all set!
Best,
Stokes Group Team",Legitimate
Your Payment Failed – Update Billing Info,"Dear Steven,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.taylor.org/6962
Act now!
Rose-Little Team",Phishing
Password Reset Required Immediately,"Congratulations Victoria!
You’ve won a $1102 gift card! Claim it now: http://secure.bender.net/5705
Hurry, offer expires soon!
Best,
Williams-Lloyd Rewards Team",Phishing
Your Subscription Renewal,"Welcome Janice!
We’re excited to have you with White Inc. Explore your account here: http://verify.krause.net/2347
Cheers,
White Inc Onboarding",Legitimate
Weekly Newsletter – 2025-02-12,"Hello Christine,
Here’s the latest on our project. Next milestone is due 2025-02-12. Let me know if you have questions!
Regards,
Jonathan Townsend",Legitimate
Your Subscription Renewal,"Hi Theodore,
Just a reminder about our team meeting tomorrow at 10:07:28. Please prepare your updates.
Thanks,
Christopher Stewart",Legitimate
Project Update: Next Steps,"Hello Angela,
Here’s the latest on our project. Next milestone is due 2025-02-03. Let me know if you have questions!
Regards,
Amanda Richards",Legitimate
Security Alert: Suspicious Login Detected,"Hi James,
Your Bank of America account password has expired. Reset it here: http://login.harvey-shannon.com/1660
This is urgent!
Thanks,
Best, Stevenson and Bradley Security",Phishing
Password Reset Required Immediately,"Hello David,
Your recent payment of $2548 failed. Update your details: http://login.johnson.com/3433
Avoid service disruption!
Sincerely,
Lopez, Zuniga and Lynch Billing",Phishing
Password Reset Required Immediately,"Hello Beth,
Your recent payment of $1451 failed. Update your details: http://secure.shea.com/5679
Avoid service disruption!
Sincerely,
Wong, Huber and Tucker Billing",Phishing
Password Reset Required Immediately,"Dear Lori,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.hamilton.com/1495
Act now!
Gates-Singleton Team",Phishing
Security Alert: Suspicious Login Detected,"Hello Dawn,
Your recent payment of $4296 failed. Update your details: http://login.taylor.info/2443
Avoid service disruption!
Sincerely,
Alexander Inc Billing",Phishing
Team Meeting Tomorrow,"Hi Nicole,
Just a reminder about our team meeting tomorrow at 15:33:25. Please prepare your updates.
Thanks,
Donald Bennett",Legitimate
Weekly Newsletter – 2025-02-22,"Hi Amy,
Just a reminder about our team meeting tomorrow at 18:05:12. Please prepare your updates.
Thanks,
Breanna Thomas",Legitimate
Team Meeting Tomorrow,"Dear James,
Your Netflix subscription renews on 2025-02-22. No action needed – you’re all set!
Best,
Johnson, Serrano and Scott Team",Legitimate
Project Update: Next Steps,"Dear Kathleen,
Your Google subscription renews on 2025-02-18. No action needed – you’re all set!
Best,
Gomez PLC Team",Legitimate
Weekly Newsletter – 2025-02-01,"Dear Kathleen,
Your Amazon subscription renews on 2025-02-01. No action needed – you’re all set!
Best,
Dorsey-Pace Team",Legitimate
Security Alert: Suspicious Login Detected,"Dear Jason,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.mcmahon.com/3744
Act now!
Simon-Erickson Team",Phishing
Weekly Newsletter – 2025-02-11,"Hi Brandon,
Here’s your weekly update for 2025-02-11. Stay informed with Hansen, Glenn and Rodriguez news!
Thanks,
Hansen, Glenn and Rodriguez Newsletter Team",Legitimate
Your Subscription Renewal,"Hi Nancy,
Just a reminder about our team meeting tomorrow at 01:08:28. Please prepare your updates.
Thanks,
Angela Brown",Legitimate
Welcome to Flores Inc!,"Hi James,
Here’s your weekly update for 2025-02-03. Stay informed with Flores Inc news!
Thanks,
Flores Inc Newsletter Team",Legitimate
Your Subscription Renewal,"Hi Crystal,
Just a reminder about our team meeting tomorrow at 03:31:31. Please prepare your updates.
Thanks,
Kevin Marks",Legitimate
Security Alert: Suspicious Login Detected,"Hello Shawn,
Your recent payment of $2118 failed. Update your details: http://login.wallace.biz/3965
Avoid service disruption!
Sincerely,
Walsh LLC Billing",Phishing
Urgent: Verify Your Account Now!,"Hello Joshua,
Your recent payment of $2121 failed. Update your details: http://login.jimenez.org/8834
Avoid service disruption!
Sincerely,
Richards Group Billing",Phishing
Welcome to Johnson Inc!,"Hi Cynthia,
Here’s your weekly update for 2025-02-13. Stay informed with Johnson Inc news!
Thanks,
Johnson Inc Newsletter Team",Legitimate
Urgent: Verify Your Account Now!,"Dear Kristin,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.castillo-lewis.biz/6664
Act now!
Wilson, Landry and Melton Team",Phishing
Weekly Newsletter – 2025-02-23,"Hi Ashley,
Just a reminder about our team meeting tomorrow at 00:08:13. Please prepare your updates.
Thanks,
Rachel Acosta",Legitimate
"You’ve Won $5,000 – Claim It Here!","Congratulations Charles!
You’ve won a $402 gift card! Claim it now: http://login.johnson-king.com/3570
Hurry, offer expires soon!
Best,
Perez Inc Rewards Team",Phishing
Security Alert: Suspicious Login Detected,"Congratulations Jennifer!
You’ve won a $4500 gift card! Claim it now: http://login.maldonado.com/3230
Hurry, offer expires soon!
Best,
Mills-Garner Rewards Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Dear Noah,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.hayes.info/4784
Act now!
Baker LLC Team",Phishing
Weekly Newsletter – 2025-02-01,"Welcome Mark!
We’re excited to have you with Daugherty, Bolton and Aguilar. Explore your account here: http://login.espinoza-booth.com/4531
Cheers,
Daugherty, Bolton and Aguilar Onboarding",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear Johnny,
We’re investigating a login attempt from an unknown device. Secure your account: http://verify.cannon.info/2296
Act now!
Reed Ltd Team",Phishing
Security Alert: Suspicious Login Detected,"Hello Kara,
Your recent payment of $3621 failed. Update your details: http://secure.parsons-calhoun.org/8358
Avoid service disruption!
Sincerely,
Lopez LLC Billing",Phishing
Weekly Newsletter – 2025-02-08,"Dear Joshua,
Your PayPal subscription renews on 2025-02-08. No action needed – you’re all set!
Best,
Pratt, Wells and Jenkins Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Congratulations David!
You’ve won a $1023 gift card! Claim it now: http://claim.bass.com/5866
Hurry, offer expires soon!
Best,
Pacheco-Watson Rewards Team",Phishing
Weekly Newsletter – 2025-02-20,"Dear Gregory,
Your PayPal subscription renews on 2025-02-20. No action needed – you’re all set!
Best,
Mann Ltd Team",Legitimate
Weekly Newsletter – 2025-02-04,"Hello Crystal,
Here’s the latest on our project. Next milestone is due 2025-02-04. Let me know if you have questions!
Regards,
Jake Lopez",Legitimate
Urgent: Verify Your Account Now!,"Dear Justin,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.martin.com/1212
Act now!
Sherman-Watson Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hi Angela,
Your PayPal account password has expired. Reset it here: http://secure.williams-chapman.com/7709
This is urgent!
Thanks,
Young-Ellis Security",Phishing
Weekly Newsletter – 2025-02-08,"Dear William,
Your PayPal subscription renews on 2025-02-08. No action needed – you’re all set!
Best,
Perez-Jones Team",Legitimate
Project Update: Next Steps,"Hi Christopher,
Just a reminder about our team meeting tomorrow at 04:52:34. Please prepare your updates.
Thanks,
Megan Crawford",Legitimate
"You’ve Won $5,000 – Claim It Here!","Congratulations James!
You’ve won a $1542 gift card! Claim it now: http://login.lam.com/4660
Hurry, offer expires soon!
Best,
Myers-Green Rewards Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hello Andrew,
Your recent payment of $3280 failed. Update your details: http://claim.curtis.com/4382
Avoid service disruption!
Sincerely,
Villarreal, Patrick and Woods Billing",Phishing
Security Alert: Suspicious Login Detected,"Congratulations Michael!
You’ve won a $3608 gift card! Claim it now: http://verify.jones.com/2927
Hurry, offer expires soon!
Best,
Johnson PLC Rewards Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Dear Samantha,
We detected unusual activity on your account. Click here to verify: http://secure.thornton-wagner.com/9636
Failure to act within 24 hours will suspend your account.
Regards,
Gates-Ross Support",Phishing
Welcome to Allen-Riddle!,"Hi Tracy,
Just a reminder about our team meeting tomorrow at 01:40:16. Please prepare your updates.
Thanks,
Kayla Garcia",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hello Zachary,
Your recent payment of $238 failed. Update your details: http://verify.harris-norris.net/8386
Avoid service disruption!
Sincerely,
Preston-Martinez Billing",Phishing
Weekly Newsletter – 2025-02-16,"Hi Shannon,
Just a reminder about our team meeting tomorrow at 10:29:44. Please prepare your updates.
Thanks,
Cody Edwards",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear Stephanie,
We detected unusual activity on your account. Click here to verify: http://login.young.com/4009
Failure to act within 24 hours will suspend your account.
Regards,
Gonzales Group Support",Phishing
Urgent: Verify Your Account Now!,"Dear Laura,
We detected unusual activity on your account. Click here to verify: http://claim.smith-nelson.net/9042
Failure to act within 24 hours will suspend your account.
Regards,
Nunez, Castillo and Taylor Support",Phishing
Password Reset Required Immediately,"Hello Patricia,
Your recent payment of $894 failed. Update your details: http://verify.miller.info/1966
Avoid service disruption!
Sincerely,
Morrison, Moore and Moore Billing",Phishing
Weekly Newsletter – 2025-02-22,"Welcome Marcus!
We’re excited to have you with Soto PLC. Explore your account here: http://claim.campbell-carter.com/8630
Cheers,
Soto PLC Onboarding",Legitimate
Urgent: Verify Your Account Now!,"Dear Jeanne,
We detected unusual activity on your account. Click here to verify: http://secure.harris.org/3910
Failure to act within 24 hours will suspend your account.
Regards,
Koch-Rodriguez Support",Phishing
Your Payment Failed – Update Billing Info,"Hi Morgan,
Your Amazon account password has expired. Reset it here: http://secure.fernandez.org/9615
This is urgent!
Thanks,
Short-Clark Security",Phishing
Security Alert: Suspicious Login Detected,"Dear Thomas,
We detected unusual activity on your account. Click here to verify: http://claim.barajas-chan.com/6307
Failure to act within 24 hours will suspend your account.
Regards,
Hood-Perkins Support",Phishing
Weekly Newsletter – 2025-02-02,"Dear Lisa,
Your Netflix subscription renews on 2025-02-02. No action needed – you’re all set!
Best,
Nash Ltd Team",Legitimate
Team Meeting Tomorrow,"Welcome Kelsey!
We’re excited to have you with White-Robinson. Explore your account here: http://secure.taylor-williams.com/6448
Cheers,
White-Robinson Onboarding",Legitimate
Password Reset Required Immediately,"Congratulations Caitlin!
You’ve won a $1375 gift card! Claim it now: http://login.ramirez-robertson.com/9185
Hurry, offer expires soon!
Best,
Hancock-Fernandez Rewards Team",Phishing
Welcome to Lewis-Barnes!,"Hello April,
Here’s the latest on our project. Next milestone is due 2025-02-13. Let me know if you have questions!
Regards,
Nicole Jenkins",Legitimate
Your Payment Failed – Update Billing Info,"Hello Stephen,
Your recent payment of $3024 failed. Update your details: http://claim.clark-kelly.info/7035
Avoid service disruption!
Sincerely,
Flores-Butler Billing",Phishing
Welcome to Carney Inc!,"Hi Kristina,
Here’s your weekly update for 2025-02-09. Stay informed with Carney Inc news!
Thanks,
Carney Inc Newsletter Team",Legitimate
Urgent: Verify Your Account Now!,"Dear Michael,
We detected unusual activity on your account. Click here to verify: http://verify.thomas.info/2071
Failure to act within 24 hours will suspend your account.
Regards,
Smith-Brown Support",Phishing
Your Subscription Renewal,"Hi Jason,
Just a reminder about our team meeting tomorrow at 03:53:41. Please prepare your updates.
Thanks,
Jason Reynolds",Legitimate
Your Payment Failed – Update Billing Info,"Hi Joseph,
Your PayPal account password has expired. Reset it here: http://verify.hughes.com/9613
This is urgent!
Thanks,
Peters Group Security",Phishing
Your Subscription Renewal,"Hello Tina,
Here’s the latest on our project. Next milestone is due 2025-02-12. Let me know if you have questions!
Regards,
Hannah Mullins",Legitimate
Your Subscription Renewal,"Dear Rhonda,
Your Netflix subscription renews on 2025-02-10. No action needed – you’re all set!
Best,
Gardner, Rose and Smith Team",Legitimate
Urgent: Verify Your Account Now!,"Congratulations Devin!
You’ve won a $1826 gift card! Claim it now: http://login.fletcher.com/6553
Hurry, offer expires soon!
Best,
Lopez and Sons Rewards Team",Phishing
Your Subscription Renewal,"Hi Steven,
Here’s your weekly update for 2025-02-06. Stay informed with Smith-Sherman news!
Thanks,
Smith-Sherman Newsletter Team",Legitimate
Team Meeting Tomorrow,"Hello John,
Here’s the latest on our project. Next milestone is due 2025-02-02. Let me know if you have questions!
Regards,
Lisa Carlson",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hello Tiffany,
Your recent payment of $1440 failed. Update your details: http://secure.blankenship-baker.com/2749
Avoid service disruption!
Sincerely,
Bowman Inc Billing",Phishing
Security Alert: Suspicious Login Detected,"Dear Charles,
We detected unusual activity on your account. Click here to verify: http://claim.brown-petersen.com/9084
Failure to act within 24 hours will suspend your account.
Regards,
Zavala-Simon Support",Phishing
"You’ve Won $5,000 – Claim It Here!","Hi Phillip,
Your Bank of America account password has expired. Reset it here: http://login.peterson.net/7700
This is urgent!
Thanks,
Solomon, Baldwin and Rogers Security",Phishing
Project Update: Next Steps,"Welcome Vincent!
We’re excited to have you with Pearson-Thomas. Explore your account here: http://login.estes-james.com/4556
Cheers,
Pearson-Thomas Onboarding",Legitimate
Weekly Newsletter – 2025-02-17,"Welcome Brandon!
We’re excited to have you with Simpson, Bennett and Browning. Explore your account here: http://secure.richardson-knight.com/7540
Cheers,
Simpson, Bennett and Browning Onboarding",Legitimate
Welcome to Perez-Scott!,"Hello Kevin,
Here’s the latest on our project. Next milestone is due 2025-02-15. Let me know if you have questions!
Regards,
Zachary Mercado",Legitimate
"Welcome to Berry, Delacruz and Lara!","Hi Tamara,
Here’s your weekly update for 2025-02-04. Stay informed with Berry, Delacruz and Lara news!
Thanks,
Berry, Delacruz and Lara Newsletter Team",Legitimate
"Welcome to Brennan, Valencia and Owens!","Dear Jeffrey,
Your Netflix subscription renews on 2025-02-08. No action needed – you’re all set!
Best,
Brennan, Valencia and Owens Team",Legitimate
Your Payment Failed – Update Billing Info,"Dear Kaitlyn,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.nichols.com/1877
Act now!
Torres-Houston Team",Phishing
Your Subscription Renewal,"Welcome Casey!
We’re excited to have you with Brown-Weiss. Explore your account here: http://verify.goodman.com/5474
Cheers,
Brown-Weiss Onboarding",Legitimate
